user_url,user_description,following_count,followers_count,posts_amount
https://x.com/Acts17David,"I know two things about you. First, you were created in the image of God. Second, the world and its systems are trying to degrade you.",93 Following,79.2K Followers,"7,372 posts"
https://x.com/TenToez292925,,76 Following,18 Followers,"1,234 posts"
https://x.com/SantanAmiga,"🤍 White Nationalist. 17th G’ Granddaughter of King Athelfrith of Northumbria. Self-preservation is NOT “racist.” , , . 🤍","4,624 Following","5,834 Followers",22K posts
https://x.com/bamboo_master_m,"mars colony bamboo farmer, proud pilgrim",413 Following,234 Followers,"8,849 posts"
https://x.com/Basil_TGMD,The West Is Worth Saving #SpacesHost,10.7K Following,42.3K Followers,35.2K posts
https://x.com/diggerjdog1,waiting for David Bowie to return. I don’t know how any of this works,"1,319 Following",243 Followers,20.2K posts
https://x.com/afshineemrani,"Cardiologist. Internist.
Jew. ✡️ Zionist. 🇮🇱 🇺🇸 Japanese antiques. 
Crypto #BTC  #Solana Rumi. #FreeIran  #India Insta:",138 Following,72.5K Followers,93.5K posts
https://x.com/southlondonjohn,,830 Following,880 Followers,75.4K posts
https://x.com/Hope743144,,203 Following,113 Followers,"4,553 posts"
https://x.com/elonmusk,,917 Following,210.1M Followers,64.8K posts
https://x.com/Primrose771646,Gods Girl ✝️ Roman Catholic ✝️ I Help Small Accounts Gain Followers 🚂 MAGA 🚂 I Conduct Trains and And Shoutouts For Patriots 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂,34.8K Following,41.2K Followers,244.9K posts
https://x.com/TB1Kinobe,"Master Carpenter™
Dad 💯 Patriot serving my community!
Satire Memes Humor 🔥","3,813 Following","8,145 Followers",61.2K posts
https://x.com/SpartaJustice,Be Brave - Fight For Humanity - Protect The Innocent Children - Defend Freedom And Life - Expose The Lies And Corruption - Share The Truth And Demand Justice,37 Following,511.9K Followers,17.9K posts
https://x.com/FrkJrBrdn,You know America is healing when hoes promise not to be hoes for the next 4 years. #winning,"1,504 Following",248 Followers,"3,118 posts"
https://x.com/TheGlobal_Index,📊 Stats/ 🗺️ Maps/Viral Media 🚀 | Follow for News coverage | ✉️ DM for business queries or Email: theglobalindex1@gmail.com,214 Following,310.5K Followers,15.6K posts
https://x.com/TheCalvinReport,"Politics, Tech and Pop Culture. Dual Citizen of USA & Australia. 🇦🇺  🇺🇸 Spend most of my time between Texas and Australia.","1,581 Following","1,965 Followers","4,917 posts"
https://x.com/Ben0277987,united and whatever I feel like saying at the time. don’t like it that’s a you problem not a Ben problem,"1,018 Following","1,225 Followers",76.2K posts
https://x.com/MadameTashaV,"MAGA ❤️ 🙏🏻 🇺🇸 Conservative Christian, child of Greek immigrants. Ready to fight for what is honorable, true, & decent. ☦️ My adjectives are brilliant & sunning.","3,068 Following","1,500 Followers",18K posts
https://x.com/DDDoktorARAR,"Hallo, ich bins die Katz.",61 Following,19 Followers,859 posts
